N,nx,ny,nz,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
27,3,3,3,Base,0.000001,1.0000,0.000001,1.0000,0.00e+00
27,3,3,3,AVX256,0.000001,1.7018,0.000000,2.3689,3.34e-16
27,3,3,3,AVX512,0.000001,1.1209,0.000001,1.4887,3.65e-16
27,3,3,3,AVX512_v2,0.000001,1.4343,0.000001,1.5135,3.65e-16
27,3,3,3,OpenMP_v1,0.000001,0.7973,0.000001,0.8692,0.00e+00
27,3,3,3,OpenMP_v2,0.000012,0.0766,0.000011,0.0832,2.13e-16
27,3,3,3,OpenMP_v3,0.000001,0.8509,0.000001,0.9055,4.06e-16
27,3,3,3,Highway,0.000001,1.7606,0.000000,2.1844,3.65e-16
27,3,3,3,Highway_v2,0.000001,1.5959,0.000001,1.6996,3.34e-16
2197,13,13,13,Base,0.000135,1.0000,0.000131,1.0000,0.00e+00
2197,13,13,13,AVX256,0.000093,1.4574,0.000091,1.4327,4.81e-16
2197,13,13,13,AVX512,0.000094,1.4414,0.000085,1.5312,4.81e-16
2197,13,13,13,AVX512_v2,0.000102,1.3319,0.000090,1.4458,4.28e-16
2197,13,13,13,OpenMP_v1,0.000139,0.9726,0.000136,0.9620,0.00e+00
2197,13,13,13,OpenMP_v2,0.001608,0.0842,0.001571,0.0831,4.27e-16
2197,13,13,13,OpenMP_v3,0.000170,0.7966,0.000175,0.7460,4.18e-16
2197,13,13,13,Highway,0.000081,1.6824,0.000079,1.6424,4.81e-16
2197,13,13,13,Highway_v2,0.000099,1.3664,0.000097,1.3435,4.81e-16
12167,23,23,23,Base,0.001332,1.0000,0.001302,1.0000,0.00e+00
12167,23,23,23,AVX256,0.001054,1.2639,0.001035,1.2572,4.75e-16
12167,23,23,23,AVX512,0.001164,1.1445,0.001119,1.1638,4.76e-16
12167,23,23,23,AVX512_v2,0.001516,0.8788,0.001611,0.8082,4.76e-16
12167,23,23,23,OpenMP_v1,0.001419,0.9391,0.001406,0.9262,0.00e+00
12167,23,23,23,OpenMP_v2,0.009709,0.1372,0.009654,0.1348,4.44e-16
12167,23,23,23,OpenMP_v3,0.001440,0.9255,0.001438,0.9053,4.18e-16
12167,23,23,23,Highway,0.001041,1.2804,0.001024,1.2718,4.76e-16
12167,23,23,23,Highway_v2,0.001151,1.1574,0.001106,1.1767,4.75e-16
35937,33,33,33,Base,0.004113,1.0000,0.004034,1.0000,0.00e+00
35937,33,33,33,AVX256,0.003417,1.2038,0.003411,1.1829,6.21e-16
35937,33,33,33,AVX512,0.003405,1.2079,0.003377,1.1946,4.44e-16
35937,33,33,33,AVX512_v2,0.003840,1.0710,0.003411,1.1829,4.44e-16
35937,33,33,33,OpenMP_v1,0.004550,0.9039,0.004266,0.9456,0.00e+00
35937,33,33,33,OpenMP_v2,0.028978,0.1419,0.028936,0.1394,4.44e-16
35937,33,33,33,OpenMP_v3,0.004462,0.9219,0.004447,0.9072,4.19e-16
35937,33,33,33,Highway,0.003357,1.2252,0.003352,1.2035,4.44e-16
35937,33,33,33,Highway_v2,0.003533,1.1641,0.003515,1.1476,6.21e-16
79507,43,43,43,Base,0.008824,1.0000,0.008810,1.0000,0.00e+00
79507,43,43,43,AVX256,0.007895,1.1177,0.007855,1.1215,6.20e-16
79507,43,43,43,AVX512,0.007877,1.1202,0.007831,1.1250,4.44e-16
79507,43,43,43,AVX512_v2,0.007810,1.1298,0.007802,1.1292,4.44e-16
79507,43,43,43,OpenMP_v1,0.009219,0.9571,0.009191,0.9585,0.00e+00
79507,43,43,43,OpenMP_v2,0.063896,0.1381,0.063154,0.1395,4.44e-16
79507,43,43,43,OpenMP_v3,0.009961,0.8859,0.009868,0.8928,4.22e-16
79507,43,43,43,Highway,0.007719,1.1432,0.007703,1.1437,4.44e-16
79507,43,43,43,Highway_v2,0.007896,1.1176,0.007875,1.1187,6.20e-16
148877,53,53,53,Base,0.017589,1.0000,0.016844,1.0000,0.00e+00
148877,53,53,53,AVX256,0.015315,1.1485,0.015233,1.1058,6.13e-16
148877,53,53,53,AVX512,0.015103,1.1646,0.014923,1.1287,5.09e-16
148877,53,53,53,AVX512_v2,0.015426,1.1403,0.015227,1.1062,5.09e-16
148877,53,53,53,OpenMP_v1,0.018011,0.9766,0.018047,0.9334,0.00e+00
148877,53,53,53,OpenMP_v2,0.126437,0.1391,0.125966,0.1337,4.44e-16
148877,53,53,53,OpenMP_v3,0.019571,0.8988,0.019345,0.8707,4.21e-16
148877,53,53,53,Highway,0.015449,1.1386,0.015402,1.0936,5.09e-16
148877,53,53,53,Highway_v2,0.015929,1.1043,0.015855,1.0624,6.13e-16
250047,63,63,63,Base,0.029194,1.0000,0.029028,1.0000,0.00e+00
250047,63,63,63,AVX256,0.027514,1.0610,0.026649,1.0893,5.19e-16
250047,63,63,63,AVX512,0.026582,1.0983,0.026358,1.1013,5.08e-16
250047,63,63,63,AVX512_v2,0.027562,1.0592,0.026838,1.0816,5.08e-16
250047,63,63,63,OpenMP_v1,0.040059,0.7288,0.039325,0.7381,0.00e+00
250047,63,63,63,OpenMP_v2,0.213514,0.1367,0.210315,0.1380,4.65e-16
250047,63,63,63,OpenMP_v3,0.032229,0.9058,0.031965,0.9081,4.21e-16
250047,63,63,63,Highway,0.026588,1.0980,0.025875,1.1218,5.08e-16
250047,63,63,63,Highway_v2,0.026390,1.1062,0.026172,1.1091,5.19e-16
389017,73,73,73,Base,0.044856,1.0000,0.044736,1.0000,0.00e+00
389017,73,73,73,AVX256,0.041877,1.0711,0.041236,1.0849,6.27e-16
389017,73,73,73,AVX512,0.041046,1.0928,0.041039,1.0901,5.12e-16
389017,73,73,73,AVX512_v2,0.041936,1.0696,0.041220,1.0853,5.12e-16
389017,73,73,73,OpenMP_v1,0.046635,0.9618,0.046339,0.9654,0.00e+00
389017,73,73,73,OpenMP_v2,0.320472,0.1400,0.320144,0.1397,4.75e-16
389017,73,73,73,OpenMP_v3,0.051413,0.8725,0.050956,0.8779,4.22e-16
389017,73,73,73,Highway,0.041136,1.0904,0.041112,1.0882,5.12e-16
389017,73,73,73,Highway_v2,0.041996,1.0681,0.041163,1.0868,6.27e-16
571787,83,83,83,Base,0.066535,1.0000,0.065675,1.0000,0.00e+00
571787,83,83,83,AVX256,0.061102,1.0889,0.060827,1.0797,6.27e-16
571787,83,83,83,AVX512,0.062040,1.0725,0.061063,1.0755,4.95e-16
571787,83,83,83,AVX512_v2,0.062027,1.0727,0.061361,1.0703,4.95e-16
571787,83,83,83,OpenMP_v1,0.069996,0.9506,0.069515,0.9448,0.00e+00
571787,83,83,83,OpenMP_v2,0.481229,0.1383,0.476781,0.1377,4.44e-16
571787,83,83,83,OpenMP_v3,0.075563,0.8805,0.074999,0.8757,4.22e-16
571787,83,83,83,Highway,0.061641,1.0794,0.060659,1.0827,4.95e-16
571787,83,83,83,Highway_v2,0.060515,1.0995,0.060248,1.0901,6.27e-16
804357,93,93,93,Base,0.093087,1.0000,0.092560,1.0000,0.00e+00
804357,93,93,93,AVX256,0.092751,1.0036,0.089068,1.0392,6.26e-16
804357,93,93,93,AVX512,0.085198,1.0926,0.084487,1.0956,6.08e-16
804357,93,93,93,AVX512_v2,0.086640,1.0744,0.085347,1.0845,5.31e-16
804357,93,93,93,OpenMP_v1,0.099465,0.9359,0.097655,0.9478,0.00e+00
804357,93,93,93,OpenMP_v2,0.675986,0.1377,0.675936,0.1369,4.47e-16
804357,93,93,93,OpenMP_v3,0.105711,0.8806,0.103779,0.8919,4.22e-16
804357,93,93,93,Highway,0.084309,1.1041,0.083981,1.1022,6.08e-16
804357,93,93,93,Highway_v2,0.088704,1.0494,0.085160,1.0869,6.26e-16
1092727,103,103,103,Base,0.127053,1.0000,0.125686,1.0000,0.00e+00
1092727,103,103,103,AVX256,0.116839,1.0874,0.116052,1.0830,6.26e-16
1092727,103,103,103,AVX512,0.115243,1.1025,0.114418,1.0985,5.22e-16
1092727,103,103,103,AVX512_v2,0.116003,1.0953,0.115006,1.0929,5.22e-16
1092727,103,103,103,OpenMP_v1,0.133210,0.9538,0.131505,0.9558,0.00e+00
1092727,103,103,103,OpenMP_v2,0.900607,0.1411,0.898698,0.1399,4.44e-16
1092727,103,103,103,OpenMP_v3,0.144832,0.8772,0.143484,0.8760,4.22e-16
1092727,103,103,103,Highway,0.115794,1.0972,0.114806,1.0948,5.22e-16
1092727,103,103,103,Highway_v2,0.117314,1.0830,0.116916,1.0750,6.26e-16
1442897,113,113,113,Base,0.169173,1.0000,0.167148,1.0000,0.00e+00
1442897,113,113,113,AVX256,0.154875,1.0923,0.153522,1.0888,6.25e-16
1442897,113,113,113,AVX512,0.152164,1.1118,0.151186,1.1056,6.11e-16
1442897,113,113,113,AVX512_v2,0.153780,1.1001,0.152121,1.0988,5.24e-16
1442897,113,113,113,OpenMP_v1,0.177556,0.9528,0.176776,0.9455,0.00e+00
1442897,113,113,113,OpenMP_v2,1.192738,0.1418,1.188154,0.1407,4.44e-16
1442897,113,113,113,OpenMP_v3,0.192198,0.8802,0.191327,0.8736,4.23e-16
1442897,113,113,113,Highway,0.154982,1.0916,0.153997,1.0854,6.11e-16
1442897,113,113,113,Highway_v2,0.156009,1.0844,0.155059,1.0780,6.25e-16
1860867,123,123,123,Base,0.215705,1.0000,0.214174,1.0000,0.00e+00
1860867,123,123,123,AVX256,0.198977,1.0841,0.196924,1.0876,6.25e-16
1860867,123,123,123,AVX512,0.197635,1.0914,0.196620,1.0893,5.42e-16
1860867,123,123,123,AVX512_v2,0.197120,1.0943,0.195618,1.0949,5.22e-16
1860867,123,123,123,OpenMP_v1,0.226919,0.9506,0.224221,0.9552,0.00e+00
1860867,123,123,123,OpenMP_v2,1.538585,0.1402,1.535531,0.1395,4.80e-16
1860867,123,123,123,OpenMP_v3,0.246564,0.8748,0.246032,0.8705,4.23e-16
1860867,123,123,123,Highway,0.197223,1.0937,0.195200,1.0972,5.42e-16
1860867,123,123,123,Highway_v2,0.199734,1.0800,0.198389,1.0796,6.25e-16
2352637,133,133,133,Base,0.272401,1.0000,0.270821,1.0000,0.00e+00
2352637,133,133,133,AVX256,0.249888,1.0901,0.248173,1.0913,6.24e-16
2352637,133,133,133,AVX512,0.246896,1.1033,0.245098,1.1049,5.31e-16
2352637,133,133,133,AVX512_v2,0.246933,1.1031,0.245213,1.1044,5.16e-16
2352637,133,133,133,OpenMP_v1,0.286251,0.9516,0.284634,0.9515,0.00e+00
2352637,133,133,133,OpenMP_v2,1.943981,0.1401,1.939582,0.1396,4.70e-16
2352637,133,133,133,OpenMP_v3,0.310740,0.8766,0.308208,0.8787,4.22e-16
2352637,133,133,133,Highway,0.247415,1.1010,0.245103,1.1049,5.31e-16
2352637,133,133,133,Highway_v2,0.250545,1.0872,0.248323,1.0906,6.24e-16
2924207,143,143,143,Base,0.338249,1.0000,0.336680,1.0000,0.00e+00
2924207,143,143,143,AVX256,0.311804,1.0848,0.310384,1.0847,6.25e-16
2924207,143,143,143,AVX512,0.306895,1.1022,0.303759,1.1084,5.38e-16
2924207,143,143,143,AVX512_v2,0.308593,1.0961,0.306460,1.0986,5.10e-16
2924207,143,143,143,OpenMP_v1,0.357500,0.9462,0.353955,0.9512,0.00e+00
2924207,143,143,143,OpenMP_v2,2.424726,0.1395,2.422355,0.1390,4.76e-16
2924207,143,143,143,OpenMP_v3,0.388814,0.8700,0.385453,0.8735,4.22e-16
2924207,143,143,143,Highway,0.308115,1.0978,0.305332,1.1027,5.38e-16
2924207,143,143,143,Highway_v2,0.311922,1.0844,0.308414,1.0917,6.25e-16
3581577,153,153,153,Base,0.413914,1.0000,0.410549,1.0000,0.00e+00
3581577,153,153,153,AVX256,0.381256,1.0857,0.377751,1.0868,6.25e-16
3581577,153,153,153,AVX512,0.376301,1.1000,0.373287,1.0998,5.30e-16
3581577,153,153,153,AVX512_v2,0.378531,1.0935,0.375937,1.0921,5.05e-16
3581577,153,153,153,OpenMP_v1,0.437164,0.9468,0.434353,0.9452,0.00e+00
3581577,153,153,153,OpenMP_v2,2.969743,0.1394,2.969051,0.1383,4.69e-16
3581577,153,153,153,OpenMP_v3,0.479208,0.8637,0.476963,0.8608,4.22e-16
3581577,153,153,153,Highway,0.377259,1.0972,0.374698,1.0957,5.30e-16
3581577,153,153,153,Highway_v2,0.380891,1.0867,0.377906,1.0864,6.25e-16
4330747,163,163,163,Base,0.500074,1.0000,0.497180,1.0000,0.00e+00
4330747,163,163,163,AVX256,0.456612,1.0952,0.454159,1.0947,6.23e-16
4330747,163,163,163,AVX512,0.452563,1.1050,0.448732,1.1080,5.36e-16
4330747,163,163,163,AVX512_v2,0.453045,1.1038,0.448993,1.1073,5.04e-16
4330747,163,163,163,OpenMP_v1,0.520797,0.9602,0.518114,0.9596,0.00e+00
4330747,163,163,163,OpenMP_v2,3.590112,0.1393,3.590322,0.1385,4.74e-16
4330747,163,163,163,OpenMP_v3,0.569217,0.8785,0.565144,0.8797,4.22e-16
4330747,163,163,163,Highway,0.453349,1.1031,0.450513,1.1036,5.36e-16
4330747,163,163,163,Highway_v2,0.456548,1.0953,0.454635,1.0936,6.23e-16
5177717,173,173,173,Base,0.599421,1.0000,0.597019,1.0000,0.00e+00
5177717,173,173,173,AVX256,0.545704,1.0984,0.543409,1.0987,6.28e-16
5177717,173,173,173,AVX512,0.539313,1.1115,0.535896,1.1141,5.13e-16
5177717,173,173,173,AVX512_v2,0.539783,1.1105,0.535718,1.1144,5.04e-16
5177717,173,173,173,OpenMP_v1,0.630597,0.9506,0.627457,0.9515,0.00e+00
5177717,173,173,173,OpenMP_v2,4.306000,0.1392,4.301705,0.1388,4.54e-16
5177717,173,173,173,OpenMP_v3,0.691083,0.8674,0.686790,0.8693,4.23e-16
5177717,173,173,173,Highway,0.540368,1.1093,0.535690,1.1145,5.13e-16
5177717,173,173,173,Highway_v2,0.546607,1.0966,0.541093,1.1034,6.28e-16
6128487,183,183,183,Base,0.697662,1.0000,0.692589,1.0000,0.00e+00
6128487,183,183,183,AVX256,0.632527,1.1030,0.629154,1.1008,6.28e-16
6128487,183,183,183,AVX512,0.623551,1.1189,0.620852,1.1155,5.04e-16
6128487,183,183,183,AVX512_v2,0.622409,1.1209,0.618452,1.1199,5.04e-16
6128487,183,183,183,OpenMP_v1,0.740977,0.9415,0.735940,0.9411,0.00e+00
6128487,183,183,183,OpenMP_v2,5.098123,0.1368,5.099909,0.1358,4.83e-16
6128487,183,183,183,OpenMP_v3,0.812571,0.8586,0.809417,0.8557,4.23e-16
6128487,183,183,183,Highway,0.623010,1.1198,0.618754,1.1193,5.04e-16
6128487,183,183,183,Highway_v2,0.635086,1.0985,0.630701,1.0981,6.28e-16
7189057,193,193,193,Base,0.825560,1.0000,0.819198,1.0000,0.00e+00
7189057,193,193,193,AVX256,0.743735,1.1100,0.740112,1.1069,6.28e-16
7189057,193,193,193,AVX512,0.736319,1.1212,0.732291,1.1187,6.08e-16
7189057,193,193,193,AVX512_v2,0.737603,1.1192,0.733668,1.1166,5.32e-16
7189057,193,193,193,OpenMP_v1,0.871805,0.9470,0.866495,0.9454,0.00e+00
7189057,193,193,193,OpenMP_v2,5.986949,0.1379,5.988243,0.1368,4.79e-16
7189057,193,193,193,OpenMP_v3,0.952492,0.8667,0.945430,0.8665,4.23e-16
7189057,193,193,193,Highway,0.735213,1.1229,0.731453,1.1200,6.08e-16
7189057,193,193,193,Highway_v2,0.749584,1.1014,0.747468,1.0960,6.28e-16
8365427,203,203,203,Base,0.967253,1.0000,0.961884,1.0000,0.00e+00
8365427,203,203,203,AVX256,0.870668,1.1109,0.866141,1.1105,6.28e-16
8365427,203,203,203,AVX512,0.856668,1.1291,0.851122,1.1301,6.02e-16
8365427,203,203,203,AVX512_v2,0.860186,1.1245,0.855509,1.1243,5.28e-16
8365427,203,203,203,OpenMP_v1,1.020785,0.9476,1.014647,0.9480,0.00e+00
8365427,203,203,203,OpenMP_v2,6.963928,0.1389,6.961472,0.1382,4.44e-16
8365427,203,203,203,OpenMP_v3,1.120678,0.8631,1.115800,0.8621,4.23e-16
8365427,203,203,203,Highway,0.858448,1.1267,0.853285,1.1273,6.02e-16
8365427,203,203,203,Highway_v2,0.873943,1.1068,0.869332,1.1065,6.28e-16
