N,nx,ny,nz,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
27,3,3,3,Base,0.000001,1.0000,0.000001,1.0000,0.00e+00
27,3,3,3,OpenMP,0.000001,1.0976,0.000001,1.0993,2.65e-16
27,3,3,3,AVX256,0.000001,2.1145,0.000001,2.0937,2.83e-16
27,3,3,3,AVX512,0.000001,1.6309,0.000001,1.9173,2.83e-16
27,3,3,3,Highway256,0.000001,1.7975,0.000001,1.7709,2.83e-16
27,3,3,3,Highway512,0.000001,1.6424,0.000001,1.8995,2.83e-16
2197,13,13,13,Base,0.000130,1.0000,0.000128,1.0000,0.00e+00
2197,13,13,13,OpenMP,0.000133,0.9786,0.000135,0.9548,4.67e-16
2197,13,13,13,AVX256,0.000083,1.5714,0.000084,1.5377,5.43e-16
2197,13,13,13,AVX512,0.000080,1.6176,0.000080,1.6061,5.43e-16
2197,13,13,13,Highway256,0.000081,1.6098,0.000077,1.6606,5.43e-16
2197,13,13,13,Highway512,0.000082,1.5744,0.000082,1.5637,5.43e-16
12167,23,23,23,Base,0.001250,1.0000,0.001246,1.0000,0.00e+00
12167,23,23,23,OpenMP,0.001283,0.9743,0.001291,0.9652,4.43e-16
12167,23,23,23,AVX256,0.001034,1.2094,0.001038,1.1999,5.62e-16
12167,23,23,23,AVX512,0.001029,1.2154,0.001009,1.2348,5.62e-16
12167,23,23,23,Highway256,0.001054,1.1860,0.001066,1.1691,5.62e-16
12167,23,23,23,Highway512,0.001029,1.2152,0.001043,1.1945,5.62e-16
35937,33,33,33,Base,0.003974,1.0000,0.003966,1.0000,0.00e+00
35937,33,33,33,OpenMP,0.003772,1.0534,0.003754,1.0567,4.44e-16
35937,33,33,33,AVX256,0.003352,1.1856,0.003341,1.1873,5.45e-16
35937,33,33,33,AVX512,0.003295,1.2060,0.003282,1.2083,5.45e-16
35937,33,33,33,Highway256,0.003390,1.1722,0.003383,1.1724,5.45e-16
35937,33,33,33,Highway512,0.003364,1.1812,0.003350,1.1839,5.45e-16
79507,43,43,43,Base,0.009589,1.0000,0.009203,1.0000,0.00e+00
79507,43,43,43,OpenMP,0.008511,1.1267,0.008425,1.0923,4.81e-16
79507,43,43,43,AVX256,0.007703,1.2449,0.007633,1.2056,5.47e-16
79507,43,43,43,AVX512,0.007819,1.2263,0.007753,1.1870,5.47e-16
79507,43,43,43,Highway256,0.007712,1.2433,0.007713,1.1931,5.47e-16
79507,43,43,43,Highway512,0.007609,1.2603,0.007594,1.2118,5.47e-16
148877,53,53,53,Base,0.017315,1.0000,0.017177,1.0000,0.00e+00
148877,53,53,53,OpenMP,0.016550,1.0463,0.016631,1.0328,4.46e-16
148877,53,53,53,AVX256,0.014636,1.1831,0.014596,1.1768,5.67e-16
148877,53,53,53,AVX512,0.015180,1.1407,0.014758,1.1639,5.67e-16
148877,53,53,53,Highway256,0.014741,1.1746,0.014628,1.1743,5.67e-16
148877,53,53,53,Highway512,0.014636,1.1831,0.014588,1.1775,5.67e-16
250047,63,63,63,Base,0.029464,1.0000,0.029549,1.0000,0.00e+00
250047,63,63,63,OpenMP,0.027673,1.0647,0.027043,1.0927,4.58e-16
250047,63,63,63,AVX256,0.025308,1.1642,0.025263,1.1697,5.67e-16
250047,63,63,63,AVX512,0.025297,1.1647,0.025252,1.1702,5.67e-16
250047,63,63,63,Highway256,0.025072,1.1752,0.025081,1.1781,5.67e-16
250047,63,63,63,Highway512,0.025628,1.1497,0.024957,1.1840,5.67e-16
389017,73,73,73,Base,0.046155,1.0000,0.045914,1.0000,0.00e+00
389017,73,73,73,OpenMP,0.043058,1.0719,0.042447,1.0817,4.61e-16
389017,73,73,73,AVX256,0.039802,1.1596,0.039787,1.1540,5.66e-16
389017,73,73,73,AVX512,0.039616,1.1651,0.039778,1.1543,5.66e-16
389017,73,73,73,Highway256,0.040098,1.1511,0.039461,1.1635,5.66e-16
389017,73,73,73,Highway512,0.039620,1.1649,0.039496,1.1625,5.66e-16
571787,83,83,83,Base,0.068734,1.0000,0.068440,1.0000,0.00e+00
571787,83,83,83,OpenMP,0.064009,1.0738,0.063503,1.0777,4.59e-16
571787,83,83,83,AVX256,0.059010,1.1648,0.058831,1.1633,5.66e-16
571787,83,83,83,AVX512,0.059370,1.1577,0.059015,1.1597,5.66e-16
571787,83,83,83,Highway256,0.058748,1.1700,0.058358,1.1728,5.66e-16
571787,83,83,83,Highway512,0.058783,1.1693,0.058597,1.1680,5.66e-16
804357,93,93,93,Base,0.096351,1.0000,0.095660,1.0000,0.00e+00
804357,93,93,93,OpenMP,0.090895,1.0600,0.090793,1.0536,4.66e-16
804357,93,93,93,AVX256,0.083819,1.1495,0.082749,1.1560,5.65e-16
804357,93,93,93,AVX512,0.084098,1.1457,0.083845,1.1409,5.65e-16
804357,93,93,93,Highway256,0.082967,1.1613,0.082267,1.1628,5.65e-16
804357,93,93,93,Highway512,0.083470,1.1543,0.083009,1.1524,5.65e-16
1092727,103,103,103,Base,0.131006,1.0000,0.130396,1.0000,0.00e+00
1092727,103,103,103,OpenMP,0.123940,1.0570,0.123330,1.0573,4.62e-16
1092727,103,103,103,AVX256,0.114404,1.1451,0.113355,1.1503,5.64e-16
1092727,103,103,103,AVX512,0.113956,1.1496,0.113517,1.1487,5.64e-16
1092727,103,103,103,Highway256,0.113043,1.1589,0.112595,1.1581,5.64e-16
1092727,103,103,103,Highway512,0.113712,1.1521,0.113271,1.1512,5.64e-16
1442897,113,113,113,Base,0.174258,1.0000,0.172846,1.0000,0.00e+00
1442897,113,113,113,OpenMP,0.162530,1.0722,0.160728,1.0754,4.63e-16
1442897,113,113,113,AVX256,0.150697,1.1563,0.150316,1.1499,5.59e-16
1442897,113,113,113,AVX512,0.150338,1.1591,0.149573,1.1556,5.59e-16
1442897,113,113,113,Highway256,0.149409,1.1663,0.148762,1.1619,5.59e-16
1442897,113,113,113,Highway512,0.150126,1.1607,0.148963,1.1603,5.59e-16
1860867,123,123,123,Base,0.224911,1.0000,0.223878,1.0000,0.00e+00
1860867,123,123,123,OpenMP,0.210036,1.0708,0.208815,1.0721,4.63e-16
1860867,123,123,123,AVX256,0.194581,1.1559,0.193935,1.1544,5.54e-16
1860867,123,123,123,AVX512,0.193409,1.1629,0.192290,1.1643,5.54e-16
1860867,123,123,123,Highway256,0.192856,1.1662,0.191948,1.1663,5.54e-16
1860867,123,123,123,Highway512,0.193684,1.1612,0.193004,1.1600,5.54e-16
2352637,133,133,133,Base,0.280865,1.0000,0.279638,1.0000,0.00e+00
2352637,133,133,133,OpenMP,0.264383,1.0623,0.263178,1.0625,4.62e-16
2352637,133,133,133,AVX256,0.241048,1.1652,0.239105,1.1695,5.67e-16
2352637,133,133,133,AVX512,0.242278,1.1593,0.241225,1.1592,5.67e-16
2352637,133,133,133,Highway256,0.239544,1.1725,0.238002,1.1749,5.67e-16
2352637,133,133,133,Highway512,0.241270,1.1641,0.239849,1.1659,5.67e-16
2924207,143,143,143,Base,0.351165,1.0000,0.349022,1.0000,0.00e+00
2924207,143,143,143,OpenMP,0.330947,1.0611,0.330120,1.0573,4.62e-16
2924207,143,143,143,AVX256,0.300936,1.1669,0.299377,1.1658,5.67e-16
2924207,143,143,143,AVX512,0.298597,1.1760,0.296701,1.1763,5.67e-16
2924207,143,143,143,Highway256,0.297332,1.1811,0.295782,1.1800,5.67e-16
2924207,143,143,143,Highway512,0.299675,1.1718,0.299024,1.1672,5.67e-16
3581577,153,153,153,Base,0.433228,1.0000,0.431470,1.0000,0.00e+00
3581577,153,153,153,OpenMP,0.408515,1.0605,0.406408,1.0617,4.75e-16
3581577,153,153,153,AVX256,0.370474,1.1694,0.369188,1.1687,5.67e-16
3581577,153,153,153,AVX512,0.368620,1.1753,0.366963,1.1758,5.67e-16
3581577,153,153,153,Highway256,0.366217,1.1830,0.364685,1.1831,5.67e-16
3581577,153,153,153,Highway512,0.369363,1.1729,0.367718,1.1734,5.67e-16
4330747,163,163,163,Base,0.522463,1.0000,0.520631,1.0000,0.00e+00
4330747,163,163,163,OpenMP,0.491283,1.0635,0.489019,1.0646,4.75e-16
4330747,163,163,163,AVX256,0.449398,1.1626,0.447237,1.1641,5.67e-16
4330747,163,163,163,AVX512,0.447224,1.1682,0.445817,1.1678,5.67e-16
4330747,163,163,163,Highway256,0.444495,1.1754,0.441740,1.1786,5.67e-16
4330747,163,163,163,Highway512,0.447901,1.1665,0.445827,1.1678,5.67e-16
5177717,173,173,173,Base,0.627657,1.0000,0.625369,1.0000,0.00e+00
5177717,173,173,173,OpenMP,0.589055,1.0655,0.585579,1.0680,4.75e-16
5177717,173,173,173,AVX256,0.538255,1.1661,0.535635,1.1675,5.67e-16
5177717,173,173,173,AVX512,0.537187,1.1684,0.534115,1.1709,5.67e-16
5177717,173,173,173,Highway256,0.535590,1.1719,0.533220,1.1728,5.67e-16
5177717,173,173,173,Highway512,0.540293,1.1617,0.538624,1.1610,5.67e-16
6128487,183,183,183,Base,0.744143,1.0000,0.743056,1.0000,0.00e+00
6128487,183,183,183,OpenMP,0.697271,1.0672,0.695603,1.0682,4.59e-16
6128487,183,183,183,AVX256,0.639044,1.1645,0.636414,1.1676,5.67e-16
6128487,183,183,183,AVX512,0.639183,1.1642,0.638089,1.1645,5.67e-16
6128487,183,183,183,Highway256,0.632764,1.1760,0.630180,1.1791,5.67e-16
6128487,183,183,183,Highway512,0.636662,1.1688,0.634790,1.1706,5.67e-16
7189057,193,193,193,Base,0.863454,1.0000,0.860101,1.0000,0.00e+00
7189057,193,193,193,OpenMP,0.812611,1.0626,0.806762,1.0661,4.58e-16
7189057,193,193,193,AVX256,0.741254,1.1649,0.737882,1.1656,5.67e-16
7189057,193,193,193,AVX512,0.740492,1.1661,0.737291,1.1666,5.67e-16
7189057,193,193,193,Highway256,0.736287,1.1727,0.732949,1.1735,5.67e-16
7189057,193,193,193,Highway512,0.740700,1.1657,0.738295,1.1650,5.67e-16
8365427,203,203,203,Base,1.012606,1.0000,1.009617,1.0000,0.00e+00
8365427,203,203,203,OpenMP,0.952647,1.0629,0.947755,1.0653,4.62e-16
8365427,203,203,203,AVX256,0.870698,1.1630,0.867269,1.1641,5.67e-16
8365427,203,203,203,AVX512,0.870927,1.1627,0.868627,1.1623,5.67e-16
8365427,203,203,203,Highway256,0.856117,1.1828,0.851820,1.1852,5.67e-16
8365427,203,203,203,Highway512,0.867791,1.1669,0.864076,1.1684,5.67e-16
