nx,ny,nz,N,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
3,3,3,27,Escalar,0.000001,1.0000,0.000001,1.0000,0.00e+00
3,3,3,27,AVX256,0.000000,1.9302,0.000000,1.9302,2.97e-16
3,3,3,27,AVX512,0.000001,0.5927,0.000001,0.5927,2.97e-16
3,3,3,27,OpenMP_v1,0.000001,0.7255,0.000001,0.7255,0.00e+00
3,3,3,27,OpenMP_v2,0.000011,0.0722,0.000011,0.0722,3.61e-16
3,3,3,27,OpenMP_v3,0.000001,0.8074,0.000001,0.8074,3.61e-16
13,13,13,2197,Escalar,0.000131,1.0000,0.000131,1.0000,0.00e+00
13,13,13,2197,AVX256,0.000088,1.5010,0.000088,1.5010,4.74e-16
13,13,13,2197,AVX512,0.000086,1.5340,0.000086,1.5340,4.74e-16
13,13,13,2197,OpenMP_v1,0.000140,0.9411,0.000140,0.9411,0.00e+00
13,13,13,2197,OpenMP_v2,0.001596,0.0823,0.001596,0.0823,4.63e-16
13,13,13,2197,OpenMP_v3,0.000158,0.8331,0.000158,0.8331,4.43e-16
23,23,23,12167,Escalar,0.001423,1.0000,0.001423,1.0000,0.00e+00
23,23,23,12167,AVX256,0.001075,1.3240,0.001075,1.3240,4.44e-16
23,23,23,12167,AVX512,0.001004,1.4174,0.001004,1.4174,4.44e-16
23,23,23,12167,OpenMP_v1,0.001262,1.1273,0.001262,1.1273,0.00e+00
23,23,23,12167,OpenMP_v2,0.009433,0.1509,0.009433,0.1509,4.53e-16
23,23,23,12167,OpenMP_v3,0.001495,0.9520,0.001495,0.9520,4.44e-16
33,33,33,35937,Escalar,0.005211,1.0000,0.005211,1.0000,0.00e+00
33,33,33,35937,AVX256,0.003759,1.3863,0.003759,1.3863,4.44e-16
33,33,33,35937,AVX512,0.003552,1.4671,0.003552,1.4671,4.44e-16
33,33,33,35937,OpenMP_v1,0.004184,1.2455,0.004184,1.2455,0.00e+00
33,33,33,35937,OpenMP_v2,0.028570,0.1824,0.028570,0.1824,5.40e-16
33,33,33,35937,OpenMP_v3,0.004265,1.2219,0.004265,1.2219,4.44e-16
43,43,43,79507,Escalar,0.009581,1.0000,0.009581,1.0000,0.00e+00
43,43,43,79507,AVX256,0.007609,1.2592,0.007609,1.2592,4.73e-16
43,43,43,79507,AVX512,0.007679,1.2477,0.007679,1.2477,4.73e-16
43,43,43,79507,OpenMP_v1,0.009021,1.0621,0.009021,1.0621,0.00e+00
43,43,43,79507,OpenMP_v2,0.061497,0.1558,0.061497,0.1558,5.35e-16
43,43,43,79507,OpenMP_v3,0.009585,0.9996,0.009585,0.9996,4.44e-16
53,53,53,148877,Escalar,0.017235,1.0000,0.017235,1.0000,0.00e+00
53,53,53,148877,AVX256,0.014690,1.1732,0.014690,1.1732,4.74e-16
53,53,53,148877,AVX512,0.014287,1.2063,0.014287,1.2063,4.74e-16
53,53,53,148877,OpenMP_v1,0.017247,0.9993,0.017247,0.9993,0.00e+00
53,53,53,148877,OpenMP_v2,0.117047,0.1472,0.117047,0.1472,4.85e-16
53,53,53,148877,OpenMP_v3,0.018060,0.9543,0.018060,0.9543,4.49e-16
63,63,63,250047,Escalar,0.029117,1.0000,0.029117,1.0000,0.00e+00
63,63,63,250047,AVX256,0.024195,1.2034,0.024195,1.2034,4.44e-16
63,63,63,250047,AVX512,0.024196,1.2034,0.024196,1.2034,4.47e-16
63,63,63,250047,OpenMP_v1,0.030265,0.9621,0.030265,0.9621,0.00e+00
63,63,63,250047,OpenMP_v2,0.197011,0.1478,0.197011,0.1478,5.70e-16
63,63,63,250047,OpenMP_v3,0.031136,0.9352,0.031136,0.9352,4.62e-16
73,73,73,389017,Escalar,0.046868,1.0000,0.046868,1.0000,0.00e+00
73,73,73,389017,AVX256,0.038267,1.2248,0.038267,1.2248,5.94e-16
73,73,73,389017,AVX512,0.037923,1.2359,0.037923,1.2359,5.94e-16
73,73,73,389017,OpenMP_v1,0.046084,1.0170,0.046084,1.0170,0.00e+00
73,73,73,389017,OpenMP_v2,0.309257,0.1515,0.309257,0.1515,5.65e-16
73,73,73,389017,OpenMP_v3,0.047884,0.9788,0.047884,0.9788,4.44e-16
83,83,83,571787,Escalar,0.068120,1.0000,0.068120,1.0000,0.00e+00
83,83,83,571787,AVX256,0.055990,1.2167,0.055990,1.2167,4.44e-16
83,83,83,571787,AVX512,0.056507,1.2055,0.056507,1.2055,4.44e-16
83,83,83,571787,OpenMP_v1,0.068002,1.0017,0.068002,1.0017,0.00e+00
83,83,83,571787,OpenMP_v2,0.457183,0.1490,0.457183,0.1490,5.59e-16
83,83,83,571787,OpenMP_v3,0.070467,0.9667,0.070467,0.9667,4.44e-16
93,93,93,804357,Escalar,0.095265,1.0000,0.095265,1.0000,0.00e+00
93,93,93,804357,AVX256,0.079117,1.2041,0.079117,1.2041,4.44e-16
93,93,93,804357,AVX512,0.079162,1.2034,0.079162,1.2034,4.44e-16
93,93,93,804357,OpenMP_v1,0.098732,0.9649,0.098732,0.9649,0.00e+00
93,93,93,804357,OpenMP_v2,0.639628,0.1489,0.639628,0.1489,5.18e-16
93,93,93,804357,OpenMP_v3,0.099125,0.9611,0.099125,0.9611,4.44e-16
