nx,ny,nz,N,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
3,3,3,27,Escalar,0.000001,1.0000,0.000001,1.0000,0.00e+00
3,3,3,27,AVX256,0.000000,1.9016,0.000000,1.9016,2.97e-16
3,3,3,27,AVX512,0.000001,0.6044,0.000001,0.6044,2.97e-16
3,3,3,27,OpenMP_v1,0.000002,0.4280,0.000002,0.4280,0.00e+00
3,3,3,27,OpenMP_v2,0.000011,0.0752,0.000011,0.0752,3.61e-16
3,3,3,27,OpenMP_v3,0.013473,0.0001,0.013473,0.0001,0.00e+00
13,13,13,2197,Escalar,0.000215,1.0000,0.000215,1.0000,0.00e+00
13,13,13,2197,AVX256,0.000123,1.7576,0.000123,1.7576,4.74e-16
13,13,13,2197,AVX512,0.000119,1.8159,0.000119,1.8159,4.74e-16
13,13,13,2197,OpenMP_v1,0.000156,1.3819,0.000156,1.3819,0.00e+00
13,13,13,2197,OpenMP_v2,0.001751,0.1231,0.001751,0.1231,4.63e-16
13,13,13,2197,OpenMP_v3,0.005502,0.0392,0.005502,0.0392,0.00e+00
23,23,23,12167,Escalar,0.001525,1.0000,0.001525,1.0000,0.00e+00
23,23,23,12167,AVX256,0.001244,1.2256,0.001244,1.2256,4.44e-16
23,23,23,12167,AVX512,0.001154,1.3206,0.001154,1.3206,4.44e-16
23,23,23,12167,OpenMP_v1,0.001567,0.9729,0.001567,0.9729,0.00e+00
23,23,23,12167,OpenMP_v2,0.009506,0.1604,0.009506,0.1604,4.53e-16
23,23,23,12167,OpenMP_v3,0.001220,1.2495,0.001220,1.2495,0.00e+00
33,33,33,35937,Escalar,0.004102,1.0000,0.004102,1.0000,0.00e+00
33,33,33,35937,AVX256,0.003491,1.1753,0.003491,1.1753,4.44e-16
33,33,33,35937,AVX512,0.003475,1.1804,0.003475,1.1804,4.44e-16
33,33,33,35937,OpenMP_v1,0.004021,1.0201,0.004021,1.0201,0.00e+00
33,33,33,35937,OpenMP_v2,0.029751,0.1379,0.029751,0.1379,5.40e-16
33,33,33,35937,OpenMP_v3,0.002884,1.4226,0.002884,1.4226,0.00e+00
43,43,43,79507,Escalar,0.009471,1.0000,0.009471,1.0000,0.00e+00
43,43,43,79507,AVX256,0.007817,1.2117,0.007817,1.2117,4.73e-16
43,43,43,79507,AVX512,0.007876,1.2026,0.007876,1.2026,4.73e-16
43,43,43,79507,OpenMP_v1,0.010112,0.9366,0.010112,0.9366,0.00e+00
43,43,43,79507,OpenMP_v2,0.065840,0.1439,0.065840,0.1439,5.35e-16
43,43,43,79507,OpenMP_v3,0.007947,1.1918,0.007947,1.1918,0.00e+00
53,53,53,148877,Escalar,0.017356,1.0000,0.017356,1.0000,0.00e+00
53,53,53,148877,AVX256,0.014634,1.1860,0.014634,1.1860,4.74e-16
53,53,53,148877,AVX512,0.014613,1.1878,0.014613,1.1878,4.74e-16
53,53,53,148877,OpenMP_v1,0.017438,0.9953,0.017438,0.9953,0.00e+00
53,53,53,148877,OpenMP_v2,0.116992,0.1484,0.116992,0.1484,4.85e-16
53,53,53,148877,OpenMP_v3,0.011977,1.4491,0.011977,1.4491,0.00e+00
63,63,63,250047,Escalar,0.029546,1.0000,0.029546,1.0000,0.00e+00
63,63,63,250047,AVX256,0.024866,1.1882,0.024866,1.1882,4.44e-16
63,63,63,250047,AVX512,0.024823,1.1903,0.024823,1.1903,4.47e-16
63,63,63,250047,OpenMP_v1,0.030090,0.9819,0.030090,0.9819,0.00e+00
63,63,63,250047,OpenMP_v2,0.196768,0.1502,0.196768,0.1502,5.70e-16
63,63,63,250047,OpenMP_v3,0.020132,1.4676,0.020132,1.4676,0.00e+00
73,73,73,389017,Escalar,0.046451,1.0000,0.046451,1.0000,0.00e+00
73,73,73,389017,AVX256,0.039270,1.1829,0.039270,1.1829,5.94e-16
73,73,73,389017,AVX512,0.038461,1.2078,0.038461,1.2078,5.94e-16
73,73,73,389017,OpenMP_v1,0.046179,1.0059,0.046179,1.0059,0.00e+00
73,73,73,389017,OpenMP_v2,0.307857,0.1509,0.307857,0.1509,5.65e-16
73,73,73,389017,OpenMP_v3,0.031739,1.4635,0.031739,1.4635,0.00e+00
83,83,83,571787,Escalar,0.067631,1.0000,0.067631,1.0000,0.00e+00
83,83,83,571787,AVX256,0.057344,1.1794,0.057344,1.1794,4.44e-16
83,83,83,571787,AVX512,0.057930,1.1675,0.057930,1.1675,4.44e-16
83,83,83,571787,OpenMP_v1,0.069117,0.9785,0.069117,0.9785,0.00e+00
83,83,83,571787,OpenMP_v2,0.466582,0.1449,0.466582,0.1449,5.59e-16
83,83,83,571787,OpenMP_v3,0.048639,1.3905,0.048639,1.3905,0.00e+00
93,93,93,804357,Escalar,0.096288,1.0000,0.096288,1.0000,0.00e+00
93,93,93,804357,AVX256,0.081540,1.1809,0.081540,1.1809,4.44e-16
93,93,93,804357,AVX512,0.080627,1.1942,0.080627,1.1942,4.44e-16
93,93,93,804357,OpenMP_v1,0.097619,0.9864,0.097619,0.9864,0.00e+00
93,93,93,804357,OpenMP_v2,0.655971,0.1468,0.655971,0.1468,5.18e-16
93,93,93,804357,OpenMP_v3,0.072479,1.3285,0.072479,1.3285,0.00e+00
