nx,ny,nz,N,variante,media_s,speedup_mean,mediana_s,speedup_median,erro_max
3,3,3,27,Escalar,0.000001,1.0000,0.000001,1.0000,0.00e+00
3,3,3,27,AVX256,0.000000,1.7052,0.000000,1.8277,2.97e-16
3,3,3,27,AVX512,0.000001,1.1112,0.000000,1.7153,2.97e-16
3,3,3,27,OpenMP_v1,0.000001,0.9581,0.000001,0.9574,0.00e+00
3,3,3,27,OpenMP_v2,0.000011,0.0663,0.000011,0.0665,3.61e-16
3,3,3,27,OpenMP_v3,0.000001,0.6672,0.000001,0.7481,3.61e-16
13,13,13,2197,Escalar,0.000133,1.0000,0.000133,1.0000,0.00e+00
13,13,13,2197,AVX256,0.000089,1.4892,0.000089,1.5011,4.74e-16
13,13,13,2197,AVX512,0.000085,1.5604,0.000083,1.6036,4.74e-16
13,13,13,2197,OpenMP_v1,0.000131,1.0157,0.000127,1.0469,0.00e+00
13,13,13,2197,OpenMP_v2,0.001559,0.0853,0.001537,0.0866,4.63e-16
13,13,13,2197,OpenMP_v3,0.000149,0.8903,0.000145,0.9155,4.43e-16
23,23,23,12167,Escalar,0.001311,1.0000,0.001306,1.0000,0.00e+00
23,23,23,12167,AVX256,0.001014,1.2936,0.001012,1.2900,4.44e-16
23,23,23,12167,AVX512,0.001028,1.2752,0.001023,1.2757,4.44e-16
23,23,23,12167,OpenMP_v1,0.001325,0.9896,0.001311,0.9956,0.00e+00
23,23,23,12167,OpenMP_v2,0.009280,0.1413,0.009225,0.1415,4.53e-16
23,23,23,12167,OpenMP_v3,0.001373,0.9550,0.001365,0.9566,4.44e-16
33,33,33,35937,Escalar,0.004201,1.0000,0.004155,1.0000,0.00e+00
33,33,33,35937,AVX256,0.003501,1.2000,0.003422,1.2144,4.44e-16
33,33,33,35937,AVX512,0.003649,1.1514,0.003531,1.1767,4.44e-16
33,33,33,35937,OpenMP_v1,0.004169,1.0077,0.004163,0.9983,0.00e+00
33,33,33,35937,OpenMP_v2,0.028318,0.1484,0.028062,0.1481,5.40e-16
33,33,33,35937,OpenMP_v3,0.004508,0.9320,0.004336,0.9582,4.44e-16
43,43,43,79507,Escalar,0.009964,1.0000,0.009549,1.0000,0.00e+00
43,43,43,79507,AVX256,0.008037,1.2398,0.007899,1.2089,4.73e-16
43,43,43,79507,AVX512,0.008111,1.2285,0.007941,1.2024,4.73e-16
43,43,43,79507,OpenMP_v1,0.009503,1.0484,0.009435,1.0120,0.00e+00
43,43,43,79507,OpenMP_v2,0.064102,0.1554,0.063965,0.1493,5.35e-16
43,43,43,79507,OpenMP_v3,0.010594,0.9405,0.009918,0.9628,4.44e-16
53,53,53,148877,Escalar,0.018096,1.0000,0.017808,1.0000,0.00e+00
53,53,53,148877,AVX256,0.015117,1.1970,0.015046,1.1836,4.74e-16
53,53,53,148877,AVX512,0.015105,1.1980,0.014995,1.1876,4.74e-16
53,53,53,148877,OpenMP_v1,0.018163,0.9963,0.018033,0.9875,0.00e+00
53,53,53,148877,OpenMP_v2,0.125024,0.1447,0.124401,0.1432,4.85e-16
53,53,53,148877,OpenMP_v3,0.020926,0.8648,0.020582,0.8653,4.49e-16
63,63,63,250047,Escalar,0.032486,1.0000,0.030427,1.0000,0.00e+00
63,63,63,250047,AVX256,0.026256,1.2373,0.025772,1.1806,4.44e-16
63,63,63,250047,AVX512,0.027683,1.1735,0.026496,1.1483,4.47e-16
63,63,63,250047,OpenMP_v1,0.032686,0.9939,0.032291,0.9423,0.00e+00
63,63,63,250047,OpenMP_v2,0.211825,0.1534,0.210874,0.1443,5.70e-16
63,63,63,250047,OpenMP_v3,0.034847,0.9322,0.033859,0.8986,4.62e-16
73,73,73,389017,Escalar,0.049005,1.0000,0.048173,1.0000,0.00e+00
73,73,73,389017,AVX256,0.041313,1.1862,0.040257,1.1966,5.94e-16
73,73,73,389017,AVX512,0.040098,1.2221,0.039406,1.2225,5.94e-16
73,73,73,389017,OpenMP_v1,0.047698,1.0274,0.047383,1.0167,0.00e+00
73,73,73,389017,OpenMP_v2,0.330660,0.1482,0.329471,0.1462,5.65e-16
73,73,73,389017,OpenMP_v3,0.054185,0.9044,0.053026,0.9085,4.44e-16
83,83,83,571787,Escalar,0.072388,1.0000,0.070667,1.0000,0.00e+00
83,83,83,571787,AVX256,0.059050,1.2259,0.057706,1.2246,4.44e-16
83,83,83,571787,AVX512,0.061610,1.1749,0.060690,1.1644,4.44e-16
83,83,83,571787,OpenMP_v1,0.075725,0.9559,0.072813,0.9705,0.00e+00
83,83,83,571787,OpenMP_v2,0.481687,0.1503,0.479212,0.1475,5.59e-16
83,83,83,571787,OpenMP_v3,0.074348,0.9736,0.072338,0.9769,4.44e-16
93,93,93,804357,Escalar,0.099516,1.0000,0.097926,1.0000,0.00e+00
93,93,93,804357,AVX256,0.081901,1.2151,0.081439,1.2024,4.44e-16
93,93,93,804357,AVX512,0.082209,1.2105,0.081458,1.2022,4.44e-16
93,93,93,804357,OpenMP_v1,0.099551,0.9997,0.097540,1.0040,0.00e+00
